安徽国胜大药房连锁有限公司禹洲天境店 安徽省合肥市肥西县桃花镇石笋路与棋石路交口禹洲华侨城幼儿园1商04室 
安徽国胜大药房连锁有限公司望江西路店 安徽省合肥市蜀山区望江西路135号10号商住楼107、107-1、108、108-1门面 
安徽国胜大药房连锁有限公司华府骏苑店 合肥市蜀山区望江西路与潜山路交口华府骏苑B区半地下商业及车库-1层196号 
安徽国胜大药房连锁有限公司绿怡居店 安徽省合肥市蜀山区东至路南绿怡居小区009#商铺 
安徽国胜大药房连锁有限公司翠庭园店 安徽省合肥市蜀山区龙图路与茂荫路交口香榭水都25幢105门面 
安徽国胜大药房连锁有限公司史河路店 安徽省合肥市蜀山区史河路凤凰城家家景园二期107/207室 
安徽国胜大药房连锁有限公司广德路店 合肥市瑶海区龙岗开发区临泉东路史城社区景秀世家三期80幢商103 
安徽国胜大药房连锁有限公司蜀南庭苑店 安徽省合肥市高新区望江西路619号蜀南庭苑商业街4#107-2 
安徽国胜大药房连锁有限公司庐江路店 安徽省合肥市庐阳区宿州路4号富世广场A座B区一层商铺商138、139号 
安徽国胜大药房连锁有限公司蜀新苑店 安徽省合肥市蜀山区井岗路蜀新苑东区25幢3号 
安徽国胜大药房连锁有限公司红皖路店 安徽省合肥市蜀山区湖光路与红皖路交口山湖苑2期 
安徽国胜大药房连锁有限公司兴园小区店 安徽省合肥市高新区兴园小区公建C103号 
安徽国胜大药房连锁有限公司美和路店 安徽省合肥市包河区美和路滨湖春天西门8幢107、207号 
安徽国胜大药房连锁有限公司大铺头店 合肥市蜀山区荷花路北6幢1号 
安徽国胜大药房连锁有限公司新安江路店 安徽省合肥市瑶海区新安江路东城世家6幢106室 
安徽国胜大药房连锁有限公司包河花园店 合肥市包河区包河花园中心环4#商铺 
安徽国胜大药房连锁有限公司葛淝路店 安徽省合肥市包河区淝河镇葛淝路58号门面房 
安徽国胜大药房连锁有限公司龙岗店 安徽省合肥市瑶海区通达南路1#楼103、104号门面 
安徽国胜大药房连锁有限公司金寨路店 安徽省合肥市蜀山区金寨路213号西侧永达大厦北面1幢一层 
安徽国胜大药房连锁有限公司琅琊山路店 安徽省合肥市瑶海区琅琊山路淮北新村30#楼底层商业北大厅 
安徽国胜大药房连锁有限公司元一名城店 安徽省合肥市瑶海区嘉山路元一名城A2-103、104门面 
安徽国胜大药房连锁有限公司滨湖前城店 安徽省合肥市经济技术开发区紫蓬路与清潭路交口南艳碧湖花园A17幢108室 
安徽国胜大药房连锁有限公司芙蓉社区店 安徽省合肥市经济技术开发区芙蓉社区翠微南园20号楼101、102房 
安徽国胜大药房连锁有限公司紫桐新村店 安徽省合肥市庐阳区砀山路紫桐新村AF配套用房 
安徽国胜大药房连锁有限公司公园道一号店 安徽省合肥市蜀山区十里店路公园道1号回迁楼1幢101室 
安徽国胜大药房连锁有限公司濉溪路店 安徽省合肥市庐阳区濉溪路254号南国花园D段1号门面 
安徽国胜大药房连锁有限公司藕塘路店 安徽省合肥市庐阳区藕塘路金荷苑 
安徽国胜大药房连锁有限公司福星嘉苑店 安徽省合肥市庐阳区亳州路299号福星嘉苑1幢6室 
安徽国胜大药房连锁有限公司芙蓉苑店 安徽省合肥市庐阳区临泉路芙蓉苑南村4栋A楼101、102号门面 
安徽国胜大药房连锁有限公司当涂支路店 安徽省合肥市包河区万岗路珠光南苑16幢商业 
安徽国胜大药房连锁有限公司水阳江路店 安徽省合肥市包河区水阳江路菱水苑南1幢113号门面 
安徽国胜大药房连锁有限公司金都华庭店 安徽省合肥市庐阳区北二环路与蒙城路交口金都华庭小区13幢112.113室 
安徽国胜大药房连锁有限公司港澳花园店 安徽省合肥市经济技术开发区芙蓉路北港澳花园莲花苑1幢104号 
安徽国胜大药房连锁有限公司滨湖新区一店 安徽省合肥市滨湖新区观湖苑18栋110号 
安徽国胜大药房连锁有限公司滨湖新区三店 安徽省合肥市滨湖新区振徽苑23幢106室 
安徽国胜大药房连锁有限公司滨湖新区二店 安徽省合肥市滨湖新区福州路徽昌苑26幢104号门面 
安徽国胜大药房连锁有限公司青阳北路店 安徽省合肥市蜀山区青阳北路虹雨花园3幢3号门面 
安徽国胜大药房连锁有限公司合瓦路店 安徽省合肥市庐阳区合瓦路康兴园小区商网8号楼101门面 
安徽国胜大药房连锁有限公司史河路店 安徽省合肥市蜀山区史河路凤凰城家家景园二期107/207室 
安徽国胜大药房连锁有限公司亳州路店 安徽国胜大药房连锁有限公司亳州路店 
安徽国胜大药房连锁有限公司南七店 安徽省合肥市包河区金寨南路1110号南七小区恢复楼门面 
安徽国胜大药房连锁有限公司黄山路店 安徽省合肥市包河区黄山路紫荆花园紫荆阁101室 
安徽国胜大药房连锁有限公司安居苑店 安徽省合肥市蜀山区安居苑西村81幢36号 
安徽国胜大药房连锁有限公司铜陵南路店 合肥市包河区铜陵南路199号星河府商业SA-2幢105-2 
安徽国胜大药房连锁有限公司肥东城关店 肥东县店埠镇龙泉西路城关中学路西 

安徽国胜大药房连锁有限公司滨湖新区八店 合肥市包河区天山路滨湖世纪城振徽苑24-121/121上 
安徽国胜大药房连锁有限公司站前路店 合肥市瑶海区站西路宝文国际花园二期18号 
安徽国胜大药房连锁有限公司兴华苑店 合肥市新站区武里山路与扶疏路交口东北角天街商业中心2#楼189、190号商铺 
安徽国胜大药房连锁有限公司包河苑二店 安徽国胜大药房连锁有限公司包河苑二店 
安徽国胜大药房连锁有限公司滨湖五月花店 合肥市滨湖区南宁路与庐州大道交口五月花小区A7幢商105/商105上室 
安徽国胜大药房连锁店有限公司慈光路店 安徽省合肥市经济技术开发区宿松路与慈光路交口西南角滨水花都小区二期商业124、125号 
安徽国胜大药房连锁有限公司国际花都店 安徽国胜大药房连锁有限公司国际花都店 
安徽国胜大药房连锁有限公司恒大华府店 安徽国胜大药房连锁有限公司恒大华府店 
安徽国胜大药房连锁有限公司湖北路店 安徽国胜大药房连锁有限公司湖北路店 
安徽国胜大药房连锁有限公司金牛路店 安徽国胜大药房连锁有限公司金牛路店 
安徽国胜大药房连锁有限公司莲花路店 安徽国胜大药房连锁有限公司莲花路店 
安徽国胜大药房连锁有限公司南陵路店 安徽国胜大药房连锁有限公司南陵路店 
安徽国胜大药房连锁有限公司宁国路店 安徽国胜大药房连锁有限公司宁国路店 
安徽国胜大药房连锁有限公司淠河路店 安徽国胜大药房连锁有限公司淠河路店 
安徽国胜大药房连锁有限公司圣地雅阁店 安徽国胜大药房连锁有限公司龙岗店 
安徽国胜大药房连锁有限公司胜利农贸店 合肥美苗农资有限责任公司 
安徽国胜大药房连锁有限公司悦方广场店 合肥市包河区紫云路与湖北路交叉口南200米悦方ID MALL永辉超市负一楼 
安徽省国胜大药房连锁有限公司中央城邦店 安徽省国胜大药房连锁有限公司中央城邦店 
安徽国胜大药房连锁有限公司紫云花园店 安徽国胜大药房连锁有限公司紫云花园店 
安徽国胜大药房连锁有限公司笔峰路店 安徽国胜大药房连锁有限公司笔峰路店 
安徽国胜大药房连锁有限公司固镇路店 安徽国胜大药房连锁有限公司合瓦路店 
安徽国胜大药房连锁有限公司和昌都汇华郡店 安徽国胜大药房连锁有限公司和昌都汇华郡店 
安徽国胜大药房连锁有限公司琥珀五环城店 安徽省合肥市蜀山区潜山路100号琥珀五环城和颂阁2幢商101 
安徽国胜大药房连锁有限公司淮河路店 安徽国胜大药房连锁有限公司淮河路店 
安徽国胜大药房连锁有限公司加侨悦山店 安徽国胜大药房连锁有限公司加侨悦山店 
安徽国胜大药房连锁有限公司科学岛路店 安徽国胜大药房连锁有限公司科学岛路店 
安徽国胜大药房连锁有限公司社岗路店 安徽国胜大药房连锁有限公司社岗路店 
安徽国胜大药房连锁有限公司义井路店 安徽国胜大药房连锁有限公司义井路店 
安徽国胜大药房连锁有限公司宿州路店 合肥市庐阳区宿州路与五河路交汇处阳光尚景苑2号楼103、104号门面 
安徽国胜大药房连锁有限公司兴华苑店 合肥市新站区武里山路与扶疏路交口东北角天街商业中心2#楼189、190号商铺 
安徽国胜大药房连锁有限公司滨湖万达店 合肥市滨湖区云谷路1255号合肥万达文旅新城15幢商113/113上 
安徽国胜大药房连锁有限公司永和家园店 合肥市高新区长宁大道与皖水路交口西南角永和家园三期 
安徽国胜大药房连锁有限公司欣塘家园店 合肥市蜀山区西二环与望江路交口欣塘家园G楼 
安徽国胜大药房连锁有限公司新蚌埠路店 安徽省合肥市瑶海区新蚌埠路24号未来家园1幢104室 
安徽国胜大药房连锁有限公司文曲路店 合肥市高新区百草街与文曲路交口九玺花园商业F幢商103、104室 
安徽国胜大药房连锁有限公司御云府店 肥东县店埠镇桥头集路西古河路北斌锋御云府19#楼104室 
安徽国胜大药房连锁有限公司红光店 安徽省合肥市瑶海区枞阳路兴业商住楼商业7号 
安徽国胜大药房连锁有限公司恒盛豪庭店 合肥市瑶海区大通路6号恒盛豪庭商业配套E区和F区商101上 
安徽国胜大药房连锁有限公司望岳店 合肥蜀山区望江西路269号学府公馆商业B-2幢 
安徽国胜大药房连锁有限公司包河苑二店 安徽国胜大药房连锁有限公司包河苑二店 
安徽国胜大药房连锁有限公司融侨天骏店 合肥市蜀山区笔架山街道天骏花园9幢商108 
安徽国胜大药房连锁有限公司瑞地公馆店 合肥市庐阳区义井路887号瑞地公馆3幢商102门面 
安徽国胜大药房连锁有限公司风景苑店 合肥市瑶海区临泉路定远路交口风景苑 
安徽国胜大药房连锁有限公司安医店 合肥市蜀山区绩溪路金溪苑小区1幢3号门面 
安徽国胜大药房连锁有限公司太湖东路店 安徽省合肥市包河区太湖路万振逍遥苑四期1号楼103室 
安徽国胜大药房连锁有限公司滨湖新区十店 安徽省合肥市滨湖新区滨湖瑞园(滨湖康园二期）2号商办楼104、105商铺 
安徽国胜大药房连锁有限公司铜陵南路店 合肥市包河区铜陵南路199号星河府商业SA-2幢105-2 
安徽国胜大药房连锁有限公司御景湾店 合肥市瑶海区芜湖路1号御景湾小区商业111室 
安徽国胜大药房连锁有限公司橡树湾店 合肥市庐阳区临泉路与桃花路交口橡树湾二期27栋商业商101 
安徽国胜大药房连锁有限公司彩虹新城店 肥东县经济开发区祥和路西侧彩虹新城H14#楼S103室 
安徽国胜大药房连锁有限公司皇家花园店 合肥市庐阳区蒙城北路恒盛皇家花园商业A座5#商铺 
安徽国胜大药房连锁有限公司明皇路店 合肥市瑶海区龙岗开发区吴敬梓路与明皇路交口 
安徽国胜大药房连锁有限公司滨湖新区九店 合肥市包河区烟墩路高速滨湖时代广场08号 
安徽国胜大药房连锁有限公司陶然居店 安徽省合肥市蜀山区天鹅湖路9号陶然居2幢-1层商103 
安徽国胜大药房连锁有限公司香御公馆店 合肥市高新区习友路与香樟大道交口圣联香御公馆地库负一层商业 
安徽华人健康医药股份有限公司 http://www.hrjkjt.com 
安徽国大药房连锁有限公司通达路店 合肥市瑶海区龙岗开发区史城村金泰大学生创业基地研发楼 
安徽国大药房连锁有限公司华府骏苑店 合肥市蜀山区孔唐路与洪岗路商208号 
安徽国大药房连锁有限公司香榭水都店 合肥市蜀山区习友路与翡翠路交叉口26#商105号 
安徽国胜大药房连锁有限公司阜阳北路店 安徽省合肥市庐阳区阜阳北路428号景祥大厦12幢3-119、120室 
平顶山市红七国大药房特许经营二十七店 河南省平顶山市平东站平东中路路西（鱼米香饭店北邻） 
安徽国大药房连锁有限公司姚公庙店 安徽省合肥市包河区常青镇姚公庙方岗小组王群门面房 
安徽国大药房连锁有限公司昊天园店 安徽省合肥市新站区星火路西、新华路以北星火集贸市场109/110号 
安徽国大药房连锁有限公司包河花园店 合肥市包河区包河花园小区C区苏果超市一层104门面 
安徽国大药房连锁有限公司新华学府店 合肥市蜀山区潜山路318号新华学府春天22幢商业118室 
安徽国大药房连锁有限公司王大郢店 安徽省合肥市包河区淝河路新淝家园阳光上南嘉园1幢106、107室 
安徽国大药房连锁有限公司桐城路店 安徽省合肥市桐城南路与上派路交叉口 
安徽国大药房连锁有限公司新亚店 合肥市瑶海区临泉路与站西路交口华府嘉园8#中楼商铺 
安徽国大药房连锁有限公司菱水苑店 安徽省合肥市水阳江路菱水苑一幢102室 
安徽国大药房连锁有限公司金寨路店 安徽省合肥市蜀山区金寨路71号 
安徽国大药房连锁有限公司金地店 安徽省合肥市马鞍山路588号金地国际城3号公寓136-138、172-174 
安徽省国缘大药房连锁有限公司红星路店 安徽省国缘大药房连锁有限公司红星路店 
安徽国大药房连锁有限公司国际花都店 安徽省合肥市政务区国际花都郁金苑10-115、116号 
安徽国大药房连锁有限公司香榭水都店 合肥市蜀山区习友路与翡翠路交叉口26#商105号 
安徽国大药房连锁有限公司姚公庙店 安徽省合肥市包河区常青镇姚公庙方岗小组王群门面房 
安徽国大药房连锁有限公司阜南路店 安徽省合肥市阜南路32号 
安徽国大药房连锁有限公司包河苑店 安徽省合肥市包河工业区包河苑小区A区017、018号门面 
安徽国大药房连锁有限公司都市清华店 安徽省合肥市颖上路58都市清华A-3、A-4幢113－114室 
安徽国大药房连锁有限公司通达路店 合肥市瑶海区龙岗开发区史城村金泰大学生创业基地研发楼 
安徽国大药房连锁有限公司西七里塘店 安徽省合肥市蜀山区长江西路563号南侧一楼 
安徽国胜大药房连锁有限公司南七店 安徽省合肥市包河区金寨南路1110号南七小区恢复楼门面 
安徽国胜大药房连锁有限公司蜀南庭苑店 安徽省合肥市高新区望江西路619号蜀南庭苑商业街4#107-2 
安徽国大药房连锁有限公司新亚店 合肥市瑶海区临泉路与站西路交口华府嘉园8#中楼商铺 
安徽国大药房连锁有限公司包河花园店 合肥市包河区包河花园小区C区苏果超市一层104门面 
安徽国胜大药房连锁有限公司香御公馆店 合肥市高新区习友路与香樟大道交口圣联香御公馆地库负一层商业 
安徽华人健康医药股份有限公司 合肥市包河工业区上海路18号 
安徽国大药房连锁有限公司通达路店 合肥市瑶海区龙岗开发区史城村金泰大学生创业基地研发楼 
安徽国大药房连锁有限公司华府骏苑店 合肥市蜀山区孔唐路与洪岗路商208号 
安徽国大药房连锁有限公司香榭水都店 合肥市蜀山区习友路与翡翠路交叉口26#商105号 
安徽国胜大药房连锁有限公司阜阳北路店 安徽省合肥市庐阳区阜阳北路428号景祥大厦12幢3-119、120室 
平顶山市红七国大药房特许经营二十七店 河南省平顶山市平东站平东中路路西（鱼米香饭店北邻） 
安徽国大药房连锁有限公司姚公庙店 安徽省合肥市包河区常青镇姚公庙方岗小组王群门面房 
安徽国大药房连锁有限公司昊天园店 安徽省合肥市新站区星火路西、新华路以北星火集贸市场109/110号 
安徽国大药房连锁有限公司包河花园店 合肥市包河区包河花园小区C区苏果超市一层104门面 
安徽国大药房连锁有限公司新华学府店 合肥市蜀山区潜山路318号新华学府春天22幢商业118室 
安徽国大药房连锁有限公司王大郢店 安徽省合肥市包河区淝河路新淝家园阳光上南嘉园1幢106、107室 
安徽国大药房连锁有限公司桐城路店 安徽省合肥市桐城南路与上派路交叉口 
安徽国大药房连锁有限公司新亚店 合肥市瑶海区临泉路与站西路交口华府嘉园8#中楼商铺 
安徽国大药房连锁有限公司菱水苑店 安徽省合肥市水阳江路菱水苑一幢102室 
安徽国大药房连锁有限公司金寨路店 安徽省合肥市蜀山区金寨路71号 
安徽国大药房连锁有限公司金地店 安徽省合肥市马鞍山路588号金地国际城3号公寓136-138、172-174 
安徽省国缘大药房连锁有限公司红星路店 安徽省国缘大药房连锁有限公司红星路店 
安徽国大药房连锁有限公司国际花都店 安徽省合肥市政务区国际花都郁金苑10-115、116号 
安徽国大药房连锁有限公司香榭水都店 合肥市蜀山区习友路与翡翠路交叉口26#商105号 
安徽国大药房连锁有限公司姚公庙店 安徽省合肥市包河区常青镇姚公庙方岗小组王群门面房 
安徽国大药房连锁有限公司阜南路店 安徽省合肥市阜南路32号 
安徽国大药房连锁有限公司包河苑店 安徽省合肥市包河工业区包河苑小区A区017、018号门面 
安徽国大药房连锁有限公司都市清华店 安徽省合肥市颖上路58都市清华A-3、A-4幢113－114室 
安徽国大药房连锁有限公司通达路店 合肥市瑶海区龙岗开发区史城村金泰大学生创业基地研发楼 
安徽国大药房连锁有限公司西七里塘店 安徽省合肥市蜀山区长江西路563号南侧一楼 
安徽国胜大药房连锁有限公司南七店 安徽省合肥市包河区金寨南路1110号南七小区恢复楼门面 
安徽国胜大药房连锁有限公司蜀南庭苑店 安徽省合肥市高新区望江西路619号蜀南庭苑商业街4#107-2 
安徽国大药房连锁有限公司新亚店 合肥市瑶海区临泉路与站西路交口华府嘉园8#中楼商铺 
安徽国大药房连锁有限公司包河花园店 合肥市包河区包河花园小区C区苏果超市一层104门面 




